Designator,Mid X,Mid Y,Rotation,Layer
_3,-20.0,23.0,0.0,top
_2,20.0,-27.0,0.0,top
,-6.0,-5.0,180.0,top
C1,7.759037,15.57,90.0,top
C10,-0.5,-10.7,270.0,top
C11,-1.4,-3.3,90.0,top
C12,0.5,-10.7,90.0,top
C13,0.5,-12.5,90.0,top
C14,12.4,15.5,180.0,top
C15,16.6,17.9,0.0,top
C16,-11.3,11.5,90.0,top
C2,-1.4,-6.7,270.0,top
C21,10.591537,15.57,270.0,top
C22,-4.2625,7.65,180.0,top
C23,-1.4625,12.25,0.0,top
C24,9.621538,15.57,270.0,top
C25,2.700001,10.05,90.0,top
C26,2.7,7.8,270.0,top
C27,2.7,6.0,270.0,top
C28,-4.7,12.05,0.0,top
C29,-1.0,7.85,180.0,top
C3,0.5,2.5,90.0,top
C30,14.0,7.95,180.0,top
C31,13.579037,14.298528,180.0,top
C32,-4.9,5.85,90.0,top
C33,-0.8,14.05,270.0,top
C34,13.579037,13.45,180.0,top
C35,-6.3625,13.05,270.0,top
C36,0.6375,6.85,90.0,top
C37,13.579037,12.601471,0.0,top
C38,14.009037,8.85,0.0,top
C4,0.5,0.7,90.0,top
C40,0.6,-24.5,180.0,top
C42,-7.6,-27.8,90.0,top
C43,-7.6,-25.0,270.0,top
C5,0.6,-6.7,270.0,top
C6,-0.5,0.7,270.0,top
C7,-0.5,2.5,270.0,top
C8,0.6,-3.3,90.0,top
C9,-0.5,-12.5,270.0,top
D1,13.7,23.3,180.0,top
D2,12.0,17.2,180.0,top
D3,13.7,18.5,180.0,top
D5,-11.0,2.85,90.0,top
D6,11.0,2.85,90.0,top
J1,11.7,-5.0,90.0,top
J10,11.7,-25.0,90.0,top
J11,19.0,-19.0,270.0,top
J12,19.0,-9.0,270.0,top
J13,-11.7,-25.0,270.0,top
J14,20.7,17.3,0.0,top
J15,-3.325,19.1325,0.0,top
J16,-13.9,7.275,180.0,bottom
J17,11.7,-15.0,90.0,top
J18,-8.7,7.275,180.0,bottom
J2,19.0,1.0,270.0,top
J3,19.0,11.0,270.0,top
J4,-11.7,-5.0,270.0,top
J5,-19.0,11.0,90.0,top
J6,-19.0,1.0,90.0,top
J7,-11.7,-15.0,270.0,top
J8,-19.0,-9.0,90.0,top
J9,-19.0,-19.0,90.0,top
L1,-4.2625,13.75,180.0,top
L2,-1.4625,6.15,0.0,top
Q1,14.0,20.9,270.0,top
R10,11.9,21.4,270.0,top
R11,-5.8,5.85,90.0,top
R12,-3.5,5.85,90.0,top
R13,0.1,14.05,270.0,top
R14,-2.2,14.05,270.0,top
R15,7.003708,16.930788,180.0,top
R16,1.0,18.5,90.0,top
R17,-13.8,3.5,90.0,top
R18,13.6,4.6,180.0,top
R19,-2.4,-26.0,270.0,top
R20,13.6,7.0,180.0,top
R21,13.6,5.8,180.0,top
R22,-2.4,-27.9,270.0,top
R23,2.7,11.9,90.0,top
R24,-1.6,-24.5,180.0,top
R25,-6.0,-24.5,0.0,top
R26,14.8,17.0,180.0,top
R27,16.59,17.0,180.0,top
R28,-3.8,-24.5,180.0,top
R29,6.84909,15.563713,270.0,top
R30,5.84909,15.573713,90.0,top
R5,8.721537,15.569999,90.0,top
SW1,7.0,-26.5,90.0,top
SW2,3.5,-26.5,90.0,top
TP1,16.7,11.0,180.0,bottom
TP2,16.7,13.3,180.0,bottom
TP20,15.0,17.8,0.0,bottom
TP21,12.7,17.8,90.0,bottom
TP3,16.7,8.7,0.0,bottom
TP4,6.9,-7.4,0.0,bottom
TP5,4.1,-2.6,0.0,bottom
TP6,6.9,-5.1,0.0,bottom
TP7,6.9,-2.6,0.0,bottom
TP8,4.1,-7.4,0.0,bottom
TP9,4.1,-5.1,0.0,bottom
U1,4.9,1.6,180.0,top
U10,5.5,-5.0,0.0,top
U11,-19.05,-26.67,180.0,top
U15,-4.8625,9.95,180.0,top
U16,-0.8625,9.95,0.0,top
U17,6.7,21.125,180.0,top
U18,-5.1,-18.54,90.0,top
U19,0.0,-18.54,90.0,top
U2,7.9,9.9,0.0,top
U25,-5.0,-27.0,90.0,top
U26,0.0,-27.0,180.0,top
U3,13.791169,10.692283,90.0,top
U4,-4.8625,1.6,0.0,top
U5,-4.9,-11.6,0.0,top
U6,4.89375,-11.6,180.0,top
U7,5.05,-18.54,90.0,top
U8,18.7,21.7,90.0,top
U9,2.8,16.1,0.0,top
